group_num,counties
0,001
1,"003,035,109"
2,"005,009,011,027,189,193"
3,"007,123,153,167"
4,"013,015,029,041,053,055,073,091,095,117,137,139,143,177,187"
5,"017,047,051,155"
6,019
7,"021,115,121,199"
8,"023,045,111,149,161"
9,025
10,"031,049"
11,"033,135,145"
12,"037,105"
13,"039,043,075,087,099,113,173,175"
14,"057,059"
15,"061,141,163,191"
16,063
17,"065,083,127,131,195"
18,067
19,"069,077,181,185"
20,071
21,"079,103,107,133"
22,081
23,085
24,089
25,"093,125,165"
26,097
27,101
28,119
29,129
30,147
31,151
32,"157,169,171,197"
33,159
34,179
35,183
